                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97927,                 3.4646,                 1.3564,                0.66667,                0.46667,                  0.565,                0.47275,                 1.5461,                 1.6411,                 1.3288,                      0,                      0,                      0
                      2,                 1.3627,                 2.8458,                 1.6623,                0.66667,                0.46667,                  0.565,                0.47275,                   1.55,                 1.6203,                 1.3236,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.2939,                 3.5815,                 1.6968,                0.66667,                0.46667,                  0.565,                0.47275,                 1.5321,                 1.6025,                 1.3099,             2.3329e-06,             2.3329e-06,             2.3329e-06
                      4,                 1.3871,                  3.691,                 1.7283,                0.66667,                0.46667,                  0.565,                0.47275,                 1.5215,                  1.595,                 1.3071,              3.464e-06,              3.464e-06,              3.464e-06
                      5,                 1.0251,                 2.3312,                 1.2784,                0.66667,                0.46667,                  0.565,                0.48933,                  1.521,                 1.5908,                 1.3044,             4.5715e-06,             4.5715e-06,             4.5715e-06
                      6,                 1.0408,                 3.1867,                 1.4127,                0.66667,                0.46667,                  0.565,                0.49211,                 1.5128,                 1.6538,                 1.3062,             5.6555e-06,             5.6555e-06,             5.6555e-06
                      7,                 1.2311,                 2.9811,                 1.4695,                0.66667,                0.46667,                  0.565,                0.48933,                 1.5264,                  1.678,                  1.312,             6.7159e-06,             6.7159e-06,             6.7159e-06
                      8,                 1.1636,                 2.5533,                 1.6489,                0.66667,                0.46667,                  0.565,                0.48933,                   1.53,                 1.6931,                  1.317,             7.7527e-06,             7.7527e-06,             7.7527e-06
                      9,                0.91846,                 1.9505,                 1.3413,                0.66667,                   0.55,                0.60583,                0.50125,                 1.5452,                 1.7356,                 1.3271,              8.766e-06,              8.766e-06,              8.766e-06
                     10,                 1.1665,                 2.5569,                 1.5893,                0.66667,                   0.55,                0.60583,                0.50125,                 1.5511,                 1.8044,                 1.3363,             9.7557e-06,             9.7557e-06,             9.7557e-06
                     11,                 1.0988,                 2.1911,                 1.2767,                0.66667,                   0.55,                0.60583,                0.50125,                 1.5576,                 1.8304,                 1.3547,             1.0722e-05,             1.0722e-05,             1.0722e-05
                     12,                 1.0965,                 2.9908,                 1.4507,                    0.5,                0.38333,                   0.44,                  0.352,                 1.5587,                 1.8195,                 1.3673,             1.1664e-05,             1.1664e-05,             1.1664e-05
                     13,                0.90666,                 2.1037,                 1.2778,                    0.5,                0.38333,                   0.44,                  0.352,                 1.5506,                  1.836,                 1.3659,             1.2584e-05,             1.2584e-05,             1.2584e-05
                     14,                  1.207,                 2.6954,                 1.5712,                    0.5,                0.38333,                   0.44,                  0.352,                 1.5422,                 1.8865,                 1.3587,             1.3479e-05,             1.3479e-05,             1.3479e-05
                     15,                0.86952,                  1.734,                  1.224,                    0.5,                0.38333,                   0.44,                  0.352,                 1.5327,                 1.8937,                 1.3527,             1.4351e-05,             1.4351e-05,             1.4351e-05
                     16,                0.92367,                  2.486,                 1.3177,                    0.5,                0.38333,                   0.44,                  0.352,                  1.536,                 1.9146,                 1.3632,             1.5199e-05,             1.5199e-05,             1.5199e-05
                     17,                 1.0498,                 2.0066,                  1.404,                    0.5,                0.38333,                   0.44,                0.35611,                 1.5127,                 1.9646,                 1.3487,             1.6024e-05,             1.6024e-05,             1.6024e-05
                     18,                0.68008,                  2.126,                  1.165,                    0.5,                0.38333,                   0.44,                0.35611,                 1.5127,                 1.9646,                 1.3487,             1.6825e-05,             1.6825e-05,             1.6825e-05
                     19,                 1.1464,                 2.7101,                 1.5826,                    0.5,                0.38333,                   0.44,                0.35611,                 1.5361,                 2.0541,                 1.3589,             1.7603e-05,             1.7603e-05,             1.7603e-05
                     20,                  1.049,                 1.8567,                 1.3821,                    0.5,                0.38333,                   0.44,                0.35611,                 1.5361,                 2.0541,                 1.3589,             1.8357e-05,             1.8357e-05,             1.8357e-05
                     21,                0.99989,                 1.9379,                 1.3714,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5394,                 2.1303,                 1.3731,             1.9088e-05,             1.9088e-05,             1.9088e-05
                     22,                0.99659,                   1.88,                 1.4216,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5394,                 2.1303,                 1.3731,             1.9795e-05,             1.9795e-05,             1.9795e-05
                     23,                0.91707,                 1.9228,                  1.242,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5596,                  2.162,                 1.3821,             2.0478e-05,             2.0478e-05,             2.0478e-05
                     24,                 1.0723,                 2.3438,                 1.3944,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5596,                  2.162,                 1.3821,             2.1138e-05,             2.1138e-05,             2.1138e-05
                     25,                 0.9721,                 1.6951,                 1.3112,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5864,                 2.1988,                 1.3869,             2.1774e-05,             2.1774e-05,             2.1774e-05
                     26,                 1.0181,                 1.5249,                 1.3469,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5864,                 2.1988,                 1.3869,             2.2387e-05,             2.2387e-05,             2.2387e-05
                     27,                0.80749,                 1.4391,                 1.2189,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5967,                 2.2474,                 1.4024,             2.2976e-05,             2.2976e-05,             2.2976e-05
                     28,                 1.0771,                 1.6192,                 1.3056,                    0.5,                0.38333,                   0.44,                0.33953,                 1.5967,                 2.2474,                 1.4024,             2.3542e-05,             2.3542e-05,             2.3542e-05
                     29,                0.83273,                 1.3068,                 1.1898,                    0.5,                0.38333,                   0.44,                0.33953,                 1.6223,                 2.2858,                 1.4255,             2.4084e-05,             2.4084e-05,             2.4084e-05
